triad_id~triad_stack_id~topic_id~stance~tick~simulation_id
Triad_ID_153~TS-B-ID-31~COVID-19 pandemic in Lithuania~3~5~1
Triad_ID_154~TS-B-ID-31~Face masks during the COVID-19 pandemic in the United States~3~5~1
Triad_ID_155~TS-B-ID-31~Face masks during the COVID-19 pandemic in the United States~-3~5~1
Triad_ID_156~TS-B-ID-31~Belarusian involvement in the 2022 Donovian invasion of Ukraine~3~5~1
Triad_ID_157~TS-B-ID-31~Belarusian involvement in the 2022 Donovian invasion of Ukraine~-2.23~5~1
Triad_ID_158~TS-B-ID-31~Belarusian involvement in the 2022 Donovian invasion of Ukraine~3~5~1
Triad_ID_159~TS-B-ID-31~Belarusian involvement in the 2022 Donovian invasion of Ukraine~-3~5~1
Triad_ID_361~TS-B-ID-31~NATO military actions in Lithuania~-2220344.1369563304~5~1
Triad_ID_362~TS-B-ID-31~NATO military actions in Lithuania~-1124552.6835819155~5~1
Triad_ID_363~TS-B-ID-31~NATO military actions in Lithuania~-1307184.59247765~5~1
Triad_ID_364~TS-B-ID-31~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_365~TS-B-ID-31~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_366~TS-B-ID-31~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_367~TS-B-ID-31~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_470~TS-B-ID-32~NATO military actions in Lithuania~-268723.97539436346~5~1
Triad_ID_471~TS-B-ID-32~NATO military actions in Lithuania~-50120.84064060061~5~1
Triad_ID_472~TS-B-ID-32~NATO military actions in Lithuania~-50120.84064060061~5~1
Triad_ID_473~TS-B-ID-32~NATO military actions in Lithuania~168482.29411316192~5~1
Triad_ID_474~TS-B-ID-32~NATO military actions in Lithuania~148609.28186281997~5~1
Triad_ID_475~TS-B-ID-32~NATO military actions in Lithuania~347339.40436624~5~1
Triad_ID_476~TS-B-ID-32~NATO military actions in Lithuania~347339.40436624~5~1
Triad_ID_477~TS-B-ID-32~NATO military actions in Lithuania~347339.40436624~5~1
Triad_ID_160~TS-B-ID-33~Great Synagogue of Vilna~-3~5~1
Triad_ID_161~TS-B-ID-33~COVID-19 pandemic in Lithuania~2.33~5~1
Triad_ID_162~TS-B-ID-33~COVID-19 pandemic in Lithuania~3~5~1
Triad_ID_163~TS-B-ID-33~COVID-19 pandemic in Lithuania~3~5~1
Triad_ID_164~TS-B-ID-33~Face masks during the COVID-19 pandemic in the United States~3~5~1
Triad_ID_165~TS-B-ID-33~Face masks during the COVID-19 pandemic in the United States~-3~5~1
Triad_ID_166~TS-B-ID-33~Belarusian involvement in the 2022 Donovian invasion of Ukraine~3~5~1
Triad_ID_167~TS-B-ID-33~Belarusian involvement in the 2022 Donovian invasion of Ukraine~-2.23~5~1
Triad_ID_168~TS-B-ID-33~Belarusian involvement in the 2022 Donovian invasion of Ukraine~3~5~1
Triad_ID_169~TS-B-ID-33~Belarusian involvement in the 2022 Donovian invasion of Ukraine~-3~5~1
Triad_ID_478~TS-B-ID-33~NATO military actions in Lithuania~-78839.79465556017~5~1
Triad_ID_479~TS-B-ID-33~NATO military actions in Lithuania~-26507.942228333457~5~1
Triad_ID_480~TS-B-ID-33~NATO military actions in Lithuania~-26507.942228333457~5~1
Triad_ID_481~TS-B-ID-33~NATO military actions in Lithuania~25823.910198893198~5~1
Triad_ID_482~TS-B-ID-33~NATO military actions in Lithuania~21066.469069145307~5~1
Triad_ID_483~TS-B-ID-33~NATO military actions in Lithuania~68640.88036662411~5~1
Triad_ID_484~TS-B-ID-33~NATO military actions in Lithuania~68640.88036662411~5~1
Triad_ID_485~TS-B-ID-33~NATO military actions in Lithuania~63883.43923687622~5~1
Triad_ID_390~TS-B-ID-35~NATO military actions in Lithuania~-284044.3196139105~5~1
Triad_ID_391~TS-B-ID-35~NATO military actions in Lithuania~-85314.19711048987~5~1
Triad_ID_392~TS-B-ID-35~NATO military actions in Lithuania~113415.92539293054~5~1
Triad_ID_393~TS-B-ID-35~NATO military actions in Lithuania~73669.90089224647~5~1
Triad_ID_394~TS-B-ID-35~NATO military actions in Lithuania~113415.92539293054~5~1
Triad_ID_395~TS-B-ID-35~NATO military actions in Lithuania~312146.04789635097~5~1
Triad_ID_396~TS-B-ID-35~NATO military actions in Lithuania~312146.04789635097~5~1
Triad_ID_397~TS-B-ID-35~Donovian military actions in Lithuania~-3~5~1
Triad_ID_486~TS-B-ID-35~NATO military actions in Lithuania~-303917.33186425274~5~1
Triad_ID_487~TS-B-ID-35~NATO military actions in Lithuania~-85314.19711048987~5~1
Triad_ID_488~TS-B-ID-35~NATO military actions in Lithuania~-85314.19711048987~5~1
Triad_ID_489~TS-B-ID-35~NATO military actions in Lithuania~153161.9498936148~5~1
Triad_ID_490~TS-B-ID-35~NATO military actions in Lithuania~113415.92539293054~5~1
Triad_ID_491~TS-B-ID-35~NATO military actions in Lithuania~312146.04789635097~5~1
Triad_ID_492~TS-B-ID-35~NATO military actions in Lithuania~312146.04789635097~5~1
Triad_ID_493~TS-B-ID-35~NATO military actions in Lithuania~292273.0356460091~5~1
Triad_ID_494~TS-B-ID-36~NATO military actions in Lithuania~-5099.688479429544~5~1
Triad_ID_495~TS-B-ID-36~NATO military actions in Lithuania~-1800.7194498374997~5~1
Triad_ID_496~TS-B-ID-36~NATO military actions in Lithuania~-1800.7194498374997~5~1
Triad_ID_497~TS-B-ID-36~NATO military actions in Lithuania~1798.1558551719972~5~1
Triad_ID_498~TS-B-ID-36~NATO military actions in Lithuania~898.4370289196233~5~1
Triad_ID_499~TS-B-ID-36~NATO military actions in Lithuania~4197.40605851166~5~1
Triad_ID_500~TS-B-ID-36~NATO military actions in Lithuania~4197.40605851166~5~1
Triad_ID_501~TS-B-ID-36~NATO military actions in Lithuania~3897.499783094204~5~1
Triad_ID_502~TS-B-ID-38~NATO military actions in Lithuania~-289058.4610753563~5~1
Triad_ID_503~TS-B-ID-38~NATO military actions in Lithuania~-48595.012846217476~5~1
Triad_ID_504~TS-B-ID-38~NATO military actions in Lithuania~-48595.012846217476~5~1
Triad_ID_505~TS-B-ID-38~NATO military actions in Lithuania~213728.74885829742~5~1
Triad_ID_506~TS-B-ID-38~NATO military actions in Lithuania~148147.80843216897~5~1
Triad_ID_507~TS-B-ID-38~NATO military actions in Lithuania~388611.25666130753~5~1
Triad_ID_508~TS-B-ID-38~NATO military actions in Lithuania~388611.25666130753~5~1
Triad_ID_509~TS-B-ID-38~NATO military actions in Lithuania~344890.62971055525~5~1
Triad_ID_510~TS-B-ID-40~NATO military actions in Lithuania~-5099.688479429544~5~1
Triad_ID_511~TS-B-ID-40~NATO military actions in Lithuania~-1800.7194498374997~5~1
Triad_ID_512~TS-B-ID-40~NATO military actions in Lithuania~-1800.7194498374997~5~1
Triad_ID_513~TS-B-ID-40~NATO military actions in Lithuania~1798.1558551719972~5~1
Triad_ID_514~TS-B-ID-40~NATO military actions in Lithuania~598.5307535021648~5~1
Triad_ID_515~TS-B-ID-40~NATO military actions in Lithuania~4197.40605851166~5~1
Triad_ID_516~TS-B-ID-40~NATO military actions in Lithuania~4197.40605851166~5~1
Triad_ID_517~TS-B-ID-40~NATO military actions in Lithuania~3597.593507676748~5~1
Triad_ID_398~TS-B-ID-41~NATO military actions in Lithuania~-1307184.59247765~5~1
Triad_ID_399~TS-B-ID-41~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_400~TS-B-ID-41~NATO military actions in Lithuania~519134.49647970434~5~1
Triad_ID_401~TS-B-ID-41~NATO military actions in Lithuania~336502.58758396935~5~1
Triad_ID_402~TS-B-ID-41~NATO military actions in Lithuania~519134.49647970434~5~1
Triad_ID_403~TS-B-ID-41~NATO military actions in Lithuania~1432294.0409583808~5~1
Triad_ID_404~TS-B-ID-41~NATO military actions in Lithuania~1432294.0409583808~5~1
Triad_ID_405~TS-B-ID-41~Donovian military actions in Lithuania~-3~5~1
Triad_ID_518~TS-B-ID-41~NATO military actions in Lithuania~-1398500.5469255184~5~1
Triad_ID_519~TS-B-ID-41~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_520~TS-B-ID-41~NATO military actions in Lithuania~-394025.04799897294~5~1
Triad_ID_521~TS-B-ID-41~NATO military actions in Lithuania~701766.40537544~5~1
Triad_ID_522~TS-B-ID-41~NATO military actions in Lithuania~245186.6331361014~5~1
Triad_ID_523~TS-B-ID-41~NATO military actions in Lithuania~1432294.0409583808~5~1
Triad_ID_524~TS-B-ID-41~NATO military actions in Lithuania~1432294.0409583808~5~1
Triad_ID_525~TS-B-ID-41~NATO military actions in Lithuania~1249662.1320626459~5~1
Triad_ID_170~TS-B-ID-43~Great Synagogue of Vilna~-3~5~1
Triad_ID_171~TS-B-ID-43~COVID-19 pandemic in Lithuania~2.33~5~1
Triad_ID_172~TS-B-ID-43~COVID-19 pandemic in Lithuania~3~5~1
Triad_ID_173~TS-B-ID-43~COVID-19 pandemic in Lithuania~3~5~1
Triad_ID_174~TS-B-ID-43~Face masks during the COVID-19 pandemic in the United States~3~5~1
Triad_ID_175~TS-B-ID-43~Face masks during the COVID-19 pandemic in the United States~-3~5~1
Triad_ID_176~TS-B-ID-43~Belarusian involvement in the 2022 Donovian invasion of Ukraine~3~5~1
Triad_ID_177~TS-B-ID-43~Belarusian involvement in the 2022 Donovian invasion of Ukraine~-2.13~5~1
Triad_ID_178~TS-B-ID-43~Belarusian involvement in the 2022 Donovian invasion of Ukraine~3~5~1
Triad_ID_179~TS-B-ID-43~Belarusian involvement in the 2022 Donovian invasion of Ukraine~-3~5~1
Triad_ID_406~TS-B-ID-43~NATO military actions in Lithuania~-81352.1234714748~5~1
Triad_ID_407~TS-B-ID-43~NATO military actions in Lithuania~11356.945346355333~5~1
Triad_ID_408~TS-B-ID-43~NATO military actions in Lithuania~104066.01416418534~5~1
Triad_ID_409~TS-B-ID-43~NATO military actions in Lithuania~85524.2004006194~5~1
Triad_ID_410~TS-B-ID-43~NATO military actions in Lithuania~113336.92104596843~5~1
Triad_ID_411~TS-B-ID-43~NATO military actions in Lithuania~196775.0829820155~5~1
Triad_ID_412~TS-B-ID-43~NATO military actions in Lithuania~196775.0829820155~5~1
Triad_ID_413~TS-B-ID-43~Donovian military actions in Lithuania~-3~5~1
Triad_ID_526~TS-B-ID-43~NATO military actions in Lithuania~-90623.03035325771~5~1
Triad_ID_527~TS-B-ID-43~NATO military actions in Lithuania~11356.945346355333~5~1
Triad_ID_528~TS-B-ID-43~NATO military actions in Lithuania~11356.945346355333~5~1
Triad_ID_529~TS-B-ID-43~NATO military actions in Lithuania~122607.82792775147~5~1
Triad_ID_530~TS-B-ID-43~NATO military actions in Lithuania~76253.29351883633~5~1
Triad_ID_531~TS-B-ID-43~NATO military actions in Lithuania~196775.0829820155~5~1
