information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_43683~SEND~15min (15min.lt)~B-ID-138~IP-282~0~0~7~Sim4
InfoAct_id_43684~SEND~15min (15min.lt)~B-ID-138~IP-286~0~0~7~Sim4
InfoAct_id_43685~SEND~15min (15min.lt)~B-ID-138~IP-290~0~0~7~Sim4
InfoAct_id_43686~SEND~15min (15min.lt)~B-ID-138~IP-307~0~0~7~Sim4
InfoAct_id_43687~SEND~15min (15min.lt)~B-ID-138~IP-311~0~0~7~Sim4
InfoAct_id_43688~SEND~15min (15min.lt)~B-ID-138~IP-315~0~0~7~Sim4
InfoAct_id_43689~SEND~15min (15min.lt)~B-ID-138~IP-319~0~0~7~Sim4
InfoAct_id_43690~SEND~15min (15min.lt)~B-ID-138~IP-323~0~0~7~Sim4
InfoAct_id_43691~SEND~15min (15min.lt)~B-ID-138~IP-327~0~0~7~Sim4
InfoAct_id_43692~SEND~15min (15min.lt)~B-ID-138~IP-331~0~0~7~Sim4
InfoAct_id_43693~SEND~15min (15min.lt)~B-ID-138~IP-335~0~0~7~Sim4
InfoAct_id_43694~SEND~15min (15min.lt)~B-ID-138~IP-339~0~0~7~Sim4
InfoAct_id_43695~SEND~15min (15min.lt)~B-ID-142~IP-274~0~0~7~Sim4
InfoAct_id_43696~SEND~15min (15min.lt)~B-ID-142~IP-278~0~0~7~Sim4
InfoAct_id_43697~SEND~15min (15min.lt)~B-ID-142~IP-282~0~0~7~Sim4
InfoAct_id_43698~SEND~15min (15min.lt)~B-ID-142~IP-286~0~0~7~Sim4
InfoAct_id_43699~SEND~15min (15min.lt)~B-ID-142~IP-290~0~0~7~Sim4
InfoAct_id_43700~SEND~15min (15min.lt)~B-ID-142~IP-307~0~0~7~Sim4
InfoAct_id_43701~SEND~15min (15min.lt)~B-ID-142~IP-311~0~0~7~Sim4
InfoAct_id_43702~SEND~15min (15min.lt)~B-ID-142~IP-315~0~0~7~Sim4
InfoAct_id_43703~SEND~15min (15min.lt)~B-ID-142~IP-319~0~0~7~Sim4
InfoAct_id_43704~SEND~15min (15min.lt)~B-ID-142~IP-323~0~0~7~Sim4
InfoAct_id_43705~SEND~15min (15min.lt)~B-ID-142~IP-327~0~0~7~Sim4
InfoAct_id_43706~SEND~15min (15min.lt)~B-ID-142~IP-331~0~0~7~Sim4
InfoAct_id_43707~SEND~15min (15min.lt)~B-ID-142~IP-335~0~0~7~Sim4
InfoAct_id_43708~SEND~15min (15min.lt)~B-ID-142~IP-339~0~0~7~Sim4
InfoAct_id_43709~SEND~15min (15min.lt)~B-ID-153~IP-274~0~0~7~Sim4
InfoAct_id_43710~SEND~15min (15min.lt)~B-ID-153~IP-278~0~0~7~Sim4
InfoAct_id_43711~SEND~15min (15min.lt)~B-ID-153~IP-282~0~0~7~Sim4
InfoAct_id_43712~SEND~15min (15min.lt)~B-ID-153~IP-286~0~0~7~Sim4
InfoAct_id_43713~SEND~15min (15min.lt)~B-ID-153~IP-290~0~0~7~Sim4
InfoAct_id_43714~SEND~15min (15min.lt)~B-ID-153~IP-307~0~0~7~Sim4
InfoAct_id_43715~SEND~15min (15min.lt)~B-ID-153~IP-311~0~0~7~Sim4
InfoAct_id_43716~SEND~15min (15min.lt)~B-ID-153~IP-315~0~0~7~Sim4
InfoAct_id_43717~SEND~15min (15min.lt)~B-ID-153~IP-319~0~0~7~Sim4
InfoAct_id_43718~SEND~15min (15min.lt)~B-ID-153~IP-323~0~0~7~Sim4
InfoAct_id_43719~SEND~15min (15min.lt)~B-ID-153~IP-327~0~0~7~Sim4
InfoAct_id_43720~SEND~15min (15min.lt)~B-ID-153~IP-331~0~0~7~Sim4
InfoAct_id_43721~SEND~15min (15min.lt)~B-ID-153~IP-335~0~0~7~Sim4
